card_id,card_number,card_number_masked,customer_id,issue_date,card_type,card_status,card_country,risk_segment
C0000044,4049250070752822,XXXX-XXXX-XXXX-2822,U436252,2024-04-22,DEBIT,ACTIVE,IN,HIGH
C0000045,4689370991135237,XXXX-XXXX-XXXX-5237,U853417,2023-12-05,PREPAID,ACTIVE,AE,MEDIUM
C0000046,4642476162846278,XXXX-XXXX-XXXX-6278,U801095,2023-06-10,CREDIT,ACTIVE,AE,LOW
C0000047,4784133850891345,XXXX-XXXX-XXXX-1345,U717548,2022-12-23,DEBIT,ACTIVE,US,LOW
C0000048,4232563382366041,XXXX-XXXX-XXXX-6041,U430760,2022-05-08,DEBIT,ACTIVE,US,LOW
C0000049,4792749488573663,XXXX-XXXX-XXXX-3663,U703758,2024-04-06,CREDIT,ACTIVE,US,MEDIUM
C0000050,4652582023564892,XXXX-XXXX-XXXX-4892,U823951,2022-07-29,CREDIT,ACTIVE,GB,LOW
C0000051,4597436947985327,XXXX-XXXX-XXXX-5327,U552973,2024-01-03,DEBIT,ACTIVE,IN,MEDIUM
C0000052,4084495232275807,XXXX-XXXX-XXXX-5807,U942344,2023-05-14,PREPAID,ACTIVE,US,MEDIUM
C0000053,4996647951141374,XXXX-XXXX-XXXX-1374,U938233,2024-05-27,DEBIT,ACTIVE,IN,LOW
C0000054,4171281293401677,XXXX-XXXX-XXXX-1677,U608454,2020-01-14,CREDIT,ACTIVE,GB,MEDIUM
C0000055,4517704921535724,XXXX-XXXX-XXXX-5724,U312137,2022-10-16,PREPAID,ACTIVE,IN,LOW
C0000056,4657857288104881,XXXX-XXXX-XXXX-4881,U476747,2024-04-15,CREDIT,ACTIVE,SG,MEDIUM
C0000057,4634492705347743,XXXX-XXXX-XXXX-7743,U815699,2021-09-11,DEBIT,ACTIVE,IN,HIGH
C0000058,4437897374915550,XXXX-XXXX-XXXX-5550,U444987,2020-08-05,CREDIT,ACTIVE,GB,LOW
C0000059,4139923763597296,XXXX-XXXX-XXXX-7296,U686725,2024-08-04,CREDIT,ACTIVE,IN,MEDIUM
C0000060,4637061227408779,XXXX-XXXX-XXXX-8779,U209729,2022-03-23,CREDIT,ACTIVE,US,MEDIUM
C0000061,4431292953595882,XXXX-XXXX-XXXX-5882,U971478,2022-02-18,DEBIT,ACTIVE,SG,MEDIUM
C0000062,4110583909265449,XXXX-XXXX-XXXX-5449,U997330,2020-03-16,DEBIT,ACTIVE,IN,HIGH
C0000063,4023966656848792,XXXX-XXXX-XXXX-8792,U222871,2023-01-10,DEBIT,ACTIVE,IN,LOW
C0000064,4143028543464532,XXXX-XXXX-XXXX-4532,U799090,2023-10-06,PREPAID,ACTIVE,IN,LOW
C0000065,4156320516571982,XXXX-XXXX-XXXX-1982,U837981,2022-10-27,CREDIT,ACTIVE,AE,LOW
C0000066,4800959681966691,XXXX-XXXX-XXXX-6691,U935014,2020-07-23,CREDIT,ACTIVE,IN,LOW
C0000067,4113721249237721,XXXX-XXXX-XXXX-7721,U727635,2022-05-07,CREDIT,ACTIVE,AE,LOW
C0000068,4734610530258133,XXXX-XXXX-XXXX-8133,U273737,2020-01-27,CREDIT,BLOCKED,US,LOW
C0000069,4070206163082707,XXXX-XXXX-XXXX-2707,U103941,2020-03-12,CREDIT,ACTIVE,IN,LOW
C0000070,4183533763767702,XXXX-XXXX-XXXX-7702,U982023,2022-10-03,CREDIT,ACTIVE,US,LOW
C0000071,4248289460244585,XXXX-XXXX-XXXX-4585,U587133,2021-05-27,CREDIT,ACTIVE,US,HIGH
C0000072,4148434616581579,XXXX-XXXX-XXXX-1579,U557516,2023-03-20,CREDIT,ACTIVE,IN,LOW
C0000073,4093403047044040,XXXX-XXXX-XXXX-4040,U653227,2021-12-28,CREDIT,ACTIVE,IN,LOW
C0000074,4217629491428401,XXXX-XXXX-XXXX-8401,U629475,2022-10-19,DEBIT,ACTIVE,US,LOW
C0000075,4095245724573170,XXXX-XXXX-XXXX-3170,U415781,2022-08-19,CREDIT,ACTIVE,US,LOW
C0000076,4787423427012462,XXXX-XXXX-XXXX-2462,U594229,2020-11-30,CREDIT,ACTIVE,US,MEDIUM
C0000077,4558318864024314,XXXX-XXXX-XXXX-4314,U215440,2024-04-14,CREDIT,ACTIVE,GB,LOW
C0000078,4837373839265192,XXXX-XXXX-XXXX-5192,U544726,2020-03-11,DEBIT,ACTIVE,IN,LOW
C0000079,4565283341301158,XXXX-XXXX-XXXX-1158,U538803,2020-10-21,DEBIT,ACTIVE,IN,MEDIUM
C0000080,4856534152107061,XXXX-XXXX-XXXX-7061,U435035,2023-04-20,CREDIT,ACTIVE,IN,HIGH
C0000081,4076609954641536,XXXX-XXXX-XXXX-1536,U504620,2023-08-05,DEBIT,ACTIVE,GB,LOW
C0000082,4640883336289256,XXXX-XXXX-XXXX-9256,U109654,2023-02-21,CREDIT,ACTIVE,IN,MEDIUM
C0000083,4920359891332090,XXXX-XXXX-XXXX-2090,U962209,2022-08-03,CREDIT,BLOCKED,IN,LOW
C0000084,4392563285928429,XXXX-XXXX-XXXX-8429,U172044,2023-11-21,DEBIT,ACTIVE,IN,LOW
C0000085,4244089071037553,XXXX-XXXX-XXXX-7553,U946648,2020-03-16,DEBIT,ACTIVE,US,LOW
C0000086,4493280139077232,XXXX-XXXX-XXXX-7232,U175703,2021-04-02,CREDIT,ACTIVE,US,MEDIUM
C0000087,4794437629032436,XXXX-XXXX-XXXX-2436,U652446,2020-04-08,DEBIT,ACTIVE,IN,MEDIUM
C0000088,4482565313483311,XXXX-XXXX-XXXX-3311,U791764,2023-03-17,CREDIT,ACTIVE,US,MEDIUM
C0000089,4384213405908520,XXXX-XXXX-XXXX-8520,U624624,2022-04-27,CREDIT,ACTIVE,IN,HIGH
C0000090,4630823915036289,XXXX-XXXX-XXXX-6289,U259755,2020-01-15,DEBIT,ACTIVE,SG,LOW
C0000091,4420263075353388,XXXX-XXXX-XXXX-3388,U228165,2022-10-14,DEBIT,ACTIVE,GB,LOW
C0000092,4981798027627134,XXXX-XXXX-XXXX-7134,U658321,2024-02-03,CREDIT,ACTIVE,GB,HIGH
C0000093,4623367820054775,XXXX-XXXX-XXXX-4775,U514663,2024-01-13,DEBIT,ACTIVE,IN,LOW
C0000094,4654094168439615,XXXX-XXXX-XXXX-9615,U972832,2020-07-01,DEBIT,ACTIVE,GB,LOW
C0000095,4004711238699845,XXXX-XXXX-XXXX-9845,U367999,2020-03-10,CREDIT,ACTIVE,CA,LOW
C0000096,4977902419113252,XXXX-XXXX-XXXX-3252,U470417,2020-05-05,DEBIT,ACTIVE,AE,HIGH
C0000097,4444468225837936,XXXX-XXXX-XXXX-7936,U314542,2020-03-03,DEBIT,ACTIVE,IN,MEDIUM
C0000098,4713256570267626,XXXX-XXXX-XXXX-7626,U796347,2020-01-14,CREDIT,ACTIVE,IN,LOW
C0000099,4101896218978654,XXXX-XXXX-XXXX-8654,U310287,2023-12-29,DEBIT,ACTIVE,US,LOW
C0000100,4401356998177596,XXXX-XXXX-XXXX-7596,U906070,2022-11-04,DEBIT,ACTIVE,IN,MEDIUM
C0000101,4902522989436716,XXXX-XXXX-XXXX-6716,U738675,2022-09-30,DEBIT,ACTIVE,SG,LOW
C0000102,4084816750136793,XXXX-XXXX-XXXX-6793,U407733,2022-02-03,CREDIT,BLOCKED,IN,LOW
C0000103,4534161368217176,XXXX-XXXX-XXXX-7176,U207408,2022-09-04,PREPAID,ACTIVE,US,LOW
C0000104,4915282194914958,XXXX-XXXX-XXXX-4958,U547224,2021-08-07,DEBIT,ACTIVE,IN,LOW
C0000105,4301804532791343,XXXX-XXXX-XXXX-1343,U966828,2022-12-14,DEBIT,ACTIVE,CA,MEDIUM
C0000106,4540859805105031,XXXX-XXXX-XXXX-5031,U356086,2021-08-12,DEBIT,ACTIVE,SG,LOW
C0000107,4983987423178969,XXXX-XXXX-XXXX-8969,U294064,2022-10-01,CREDIT,ACTIVE,IN,LOW
C0000108,4155443470151773,XXXX-XXXX-XXXX-1773,U886882,2020-01-03,CREDIT,ACTIVE,GB,LOW
C0000109,4860954762572832,XXXX-XXXX-XXXX-2832,U954940,2024-08-17,CREDIT,ACTIVE,SG,MEDIUM
C0000110,4185171711964702,XXXX-XXXX-XXXX-4702,U605953,2021-06-27,CREDIT,ACTIVE,US,LOW
C0000111,4139660358421018,XXXX-XXXX-XXXX-1018,U944220,2024-06-19,DEBIT,ACTIVE,IN,LOW
C0000112,4455112638459846,XXXX-XXXX-XXXX-9846,U564478,2023-09-05,DEBIT,ACTIVE,IN,LOW
C0000113,4897786981893125,XXXX-XXXX-XXXX-3125,U504349,2020-12-17,DEBIT,ACTIVE,IN,LOW
C0000114,4112064147782899,XXXX-XXXX-XXXX-2899,U876487,2020-10-03,CREDIT,ACTIVE,IN,LOW
C0000115,4551157805810012,XXXX-XXXX-XXXX-0012,U520506,2023-12-01,DEBIT,ACTIVE,IN,LOW
C0000116,4683253333528632,XXXX-XXXX-XXXX-8632,U305427,2023-06-18,PREPAID,ACTIVE,US,MEDIUM
C0000117,4191351504543307,XXXX-XXXX-XXXX-3307,U643234,2020-03-21,DEBIT,ACTIVE,IN,LOW
C0000118,4031281535568165,XXXX-XXXX-XXXX-8165,U199566,2023-04-15,DEBIT,ACTIVE,US,MEDIUM
C0000119,4493980047416201,XXXX-XXXX-XXXX-6201,U352599,2023-12-21,CREDIT,ACTIVE,GB,MEDIUM
C0000120,4254262484742911,XXXX-XXXX-XXXX-2911,U926913,2022-08-04,CREDIT,BLOCKED,IN,MEDIUM
C0000121,4148483183994544,XXXX-XXXX-XXXX-4544,U593355,2023-09-20,CREDIT,ACTIVE,IN,LOW
C0000122,4078108618798232,XXXX-XXXX-XXXX-8232,U126851,2023-06-05,DEBIT,ACTIVE,GB,MEDIUM
C0000123,4301497385803464,XXXX-XXXX-XXXX-3464,U843354,2021-06-23,CREDIT,ACTIVE,IN,LOW
C0000124,4693080602286702,XXXX-XXXX-XXXX-6702,U255649,2023-09-12,PREPAID,ACTIVE,IN,HIGH
C0000125,4577805846385072,XXXX-XXXX-XXXX-5072,U449357,2020-08-03,CREDIT,ACTIVE,US,LOW
C0000126,4273187216121823,XXXX-XXXX-XXXX-1823,U145467,2022-01-30,DEBIT,ACTIVE,AE,LOW
C0000127,4051915957135945,XXXX-XXXX-XXXX-5945,U240634,2021-01-28,CREDIT,ACTIVE,US,LOW
C0000128,4396167516625252,XXXX-XXXX-XXXX-5252,U709858,2022-06-24,CREDIT,ACTIVE,CA,LOW
C0000129,4924215145837257,XXXX-XXXX-XXXX-7257,U948359,2020-01-22,CREDIT,ACTIVE,IN,LOW
C0000130,4889646574117722,XXXX-XXXX-XXXX-7722,U455506,2020-09-29,DEBIT,ACTIVE,IN,LOW
C0000131,4919898589826825,XXXX-XXXX-XXXX-6825,U985176,2024-03-31,DEBIT,ACTIVE,GB,MEDIUM
C0000132,4379044130006458,XXXX-XXXX-XXXX-6458,U565317,2020-05-30,CREDIT,ACTIVE,US,LOW
C0000133,4778669039737417,XXXX-XXXX-XXXX-7417,U729540,2024-01-11,CREDIT,ACTIVE,IN,MEDIUM
C0000134,4023132103454558,XXXX-XXXX-XXXX-4558,U981301,2024-08-06,CREDIT,ACTIVE,IN,LOW
C0000135,4348086087413771,XXXX-XXXX-XXXX-3771,U614258,2022-09-14,DEBIT,ACTIVE,SG,LOW
C0000136,4196743380370676,XXXX-XXXX-XXXX-0676,U439485,2021-09-08,DEBIT,ACTIVE,US,LOW
C0000137,4023689548983941,XXXX-XXXX-XXXX-3941,U754532,2021-02-18,DEBIT,ACTIVE,SG,LOW
C0000138,4202089756444780,XXXX-XXXX-XXXX-4780,U267189,2022-03-25,CREDIT,ACTIVE,IN,LOW
C0000139,4089849593325220,XXXX-XXXX-XXXX-5220,U320272,2023-01-14,CREDIT,ACTIVE,IN,LOW
C0000140,4764793016263126,XXXX-XXXX-XXXX-3126,U889038,2023-08-06,PREPAID,BLOCKED,CA,LOW
C0000141,4410121377939016,XXXX-XXXX-XXXX-9016,U947150,2021-06-01,CREDIT,ACTIVE,AE,LOW
C0000142,4542355209964025,XXXX-XXXX-XXXX-4025,U248780,2020-05-19,DEBIT,ACTIVE,US,MEDIUM
C0000143,4739802960322532,XXXX-XXXX-XXXX-2532,U863115,2021-09-23,DEBIT,ACTIVE,GB,LOW
C0000144,4941524084776033,XXXX-XXXX-XXXX-6033,U208589,2021-01-30,DEBIT,ACTIVE,AE,LOW
C0000145,4650684135678961,XXXX-XXXX-XXXX-8961,U155328,2022-02-03,DEBIT,ACTIVE,AE,MEDIUM
C0000146,4339315348687470,XXXX-XXXX-XXXX-7470,U577764,2023-05-08,DEBIT,ACTIVE,SG,MEDIUM
C0000147,4003077773582484,XXXX-XXXX-XXXX-2484,U395563,2022-05-30,CREDIT,ACTIVE,US,LOW
C0000148,4131753597173613,XXXX-XXXX-XXXX-3613,U213097,2020-11-06,CREDIT,ACTIVE,IN,LOW
C0000149,4959792077179522,XXXX-XXXX-XXXX-9522,U247955,2021-03-06,DEBIT,ACTIVE,SG,LOW
C0000150,4608120717559154,XXXX-XXXX-XXXX-9154,U518512,2024-07-08,CREDIT,ACTIVE,CA,MEDIUM
C0000151,4816907416144004,XXXX-XXXX-XXXX-4004,U433788,2022-03-07,DEBIT,ACTIVE,IN,LOW
C0000152,4342400570989318,XXXX-XXXX-XXXX-9318,U815010,2023-01-22,CREDIT,ACTIVE,IN,HIGH
C0000153,4531024379896227,XXXX-XXXX-XXXX-6227,U358481,2022-12-22,DEBIT,BLOCKED,IN,LOW
C0000154,4458257978793975,XXXX-XXXX-XXXX-3975,U216126,2022-01-07,CREDIT,ACTIVE,SG,LOW
C0000155,4413937261801523,XXXX-XXXX-XXXX-1523,U747607,2022-02-22,CREDIT,ACTIVE,US,HIGH
C0000156,4342715557935255,XXXX-XXXX-XXXX-5255,U259511,2020-06-03,CREDIT,ACTIVE,IN,MEDIUM
C0000157,4746397496186780,XXXX-XXXX-XXXX-6780,U349977,2024-08-13,CREDIT,ACTIVE,IN,HIGH
C0000158,4366337347227145,XXXX-XXXX-XXXX-7145,U764658,2021-11-01,CREDIT,ACTIVE,US,HIGH
C0000159,4330434193004031,XXXX-XXXX-XXXX-4031,U270545,2023-01-05,DEBIT,ACTIVE,IN,LOW
C0000160,4091723248788272,XXXX-XXXX-XXXX-8272,U700740,2020-08-11,CREDIT,ACTIVE,IN,LOW
C0000161,4162407781516555,XXXX-XXXX-XXXX-6555,U945757,2024-01-03,DEBIT,ACTIVE,IN,LOW
C0000162,4138652805387658,XXXX-XXXX-XXXX-7658,U355168,2021-04-22,PREPAID,ACTIVE,US,MEDIUM
C0000163,4769089529226747,XXXX-XXXX-XXXX-6747,U624141,2022-11-03,DEBIT,ACTIVE,IN,HIGH
C0000164,4399674403765194,XXXX-XXXX-XXXX-5194,U716884,2022-07-14,DEBIT,ACTIVE,US,LOW
C0000165,4176459359370232,XXXX-XXXX-XXXX-0232,U862579,2023-12-22,DEBIT,ACTIVE,US,LOW
C0000166,4334108091458129,XXXX-XXXX-XXXX-8129,U319784,2021-11-15,PREPAID,ACTIVE,CA,MEDIUM
C0000167,4996737646679126,XXXX-XXXX-XXXX-9126,U309856,2023-07-20,CREDIT,ACTIVE,IN,LOW
C0000168,4289313053816337,XXXX-XXXX-XXXX-6337,U332027,2022-02-24,DEBIT,ACTIVE,AE,MEDIUM
C0000169,4570971676995859,XXXX-XXXX-XXXX-5859,U429398,2020-01-13,DEBIT,ACTIVE,AE,LOW
C0000170,4774326049126998,XXXX-XXXX-XXXX-6998,U204133,2020-07-15,PREPAID,ACTIVE,IN,LOW
C0000171,4401076196683900,XXXX-XXXX-XXXX-3900,U889960,2024-05-04,PREPAID,ACTIVE,IN,MEDIUM
C0000172,4270624761772494,XXXX-XXXX-XXXX-2494,U896363,2021-01-15,DEBIT,ACTIVE,IN,LOW
C0000173,4506415521846634,XXXX-XXXX-XXXX-6634,U319290,2022-05-01,CREDIT,ACTIVE,CA,HIGH
C0000174,4516451059700317,XXXX-XXXX-XXXX-0317,U185679,2023-03-07,PREPAID,ACTIVE,US,LOW
C0000175,4209970514197278,XXXX-XXXX-XXXX-7278,U431862,2023-02-16,DEBIT,ACTIVE,AE,MEDIUM
C0000176,4416663946719364,XXXX-XXXX-XXXX-9364,U389390,2021-02-03,CREDIT,ACTIVE,SG,LOW
C0000177,4569858790687488,XXXX-XXXX-XXXX-7488,U924157,2020-06-12,DEBIT,ACTIVE,IN,LOW
C0000178,4000510868212266,XXXX-XXXX-XXXX-2266,U492684,2023-12-17,DEBIT,ACTIVE,AE,LOW
C0000179,4026341468637746,XXXX-XXXX-XXXX-7746,U158645,2024-01-03,CREDIT,ACTIVE,AE,LOW
C0000180,4394475455964233,XXXX-XXXX-XXXX-4233,U764017,2022-09-25,CREDIT,ACTIVE,GB,LOW
C0000181,4309163679042574,XXXX-XXXX-XXXX-2574,U470430,2021-01-07,DEBIT,ACTIVE,IN,LOW
C0000182,4176281622843372,XXXX-XXXX-XXXX-3372,U257811,2020-03-15,DEBIT,BLOCKED,IN,MEDIUM
C0000183,4179564487298231,XXXX-XXXX-XXXX-8231,U926093,2021-10-29,CREDIT,ACTIVE,AE,LOW
C0000184,4220794731556171,XXXX-XXXX-XXXX-6171,U690465,2024-05-28,CREDIT,ACTIVE,US,MEDIUM
C0000185,4371037105322890,XXXX-XXXX-XXXX-2890,U517727,2020-02-15,DEBIT,ACTIVE,US,LOW
C0000186,4418652585722883,XXXX-XXXX-XXXX-2883,U782118,2020-06-25,CREDIT,ACTIVE,IN,LOW
C0000187,4162483147498266,XXXX-XXXX-XXXX-8266,U505414,2022-08-16,CREDIT,ACTIVE,IN,LOW
C0000188,4894507735415981,XXXX-XXXX-XXXX-5981,U681661,2023-08-15,CREDIT,ACTIVE,US,HIGH
C0000189,4474650594861719,XXXX-XXXX-XXXX-1719,U406047,2020-12-31,CREDIT,ACTIVE,US,LOW
C0000190,4099154147458923,XXXX-XXXX-XXXX-8923,U286286,2020-06-26,DEBIT,ACTIVE,AE,LOW
C0000191,4343813607584227,XXXX-XXXX-XXXX-4227,U319870,2020-04-03,DEBIT,ACTIVE,US,LOW
C0000192,4888350323188011,XXXX-XXXX-XXXX-8011,U936699,2023-04-04,DEBIT,ACTIVE,US,LOW
C0000193,4199168523820998,XXXX-XXXX-XXXX-0998,U966360,2023-07-06,CREDIT,ACTIVE,CA,LOW
C0000194,4401260623262099,XXXX-XXXX-XXXX-2099,U391542,2022-03-07,CREDIT,ACTIVE,IN,HIGH
C0000195,4326024986399486,XXXX-XXXX-XXXX-9486,U577756,2022-04-19,PREPAID,ACTIVE,IN,LOW
C0000196,4128056545904701,XXXX-XXXX-XXXX-4701,U388976,2021-01-03,DEBIT,ACTIVE,US,LOW
C0000197,4666704086691932,XXXX-XXXX-XXXX-1932,U495721,2022-01-03,CREDIT,ACTIVE,SG,LOW
C0000198,4329252709287729,XXXX-XXXX-XXXX-7729,U505941,2024-07-05,CREDIT,ACTIVE,US,LOW
C0000199,4970223457305679,XXXX-XXXX-XXXX-5679,U163468,2021-10-05,DEBIT,ACTIVE,GB,LOW
C0000200,4214537804978632,XXXX-XXXX-XXXX-8632,U606404,2023-07-12,DEBIT,ACTIVE,SG,LOW
C0000201,4104596689477555,XXXX-XXXX-XXXX-7555,U993101,2020-03-30,PREPAID,ACTIVE,SG,LOW
C0000202,4004616166109788,XXXX-XXXX-XXXX-9788,U134687,2024-05-09,CREDIT,ACTIVE,GB,MEDIUM
C0000203,4239484964176804,XXXX-XXXX-XXXX-6804,U282772,2022-03-02,DEBIT,ACTIVE,IN,MEDIUM
C0000204,4373058508919883,XXXX-XXXX-XXXX-9883,U608569,2020-04-09,DEBIT,ACTIVE,US,LOW
C0000205,4240709654152703,XXXX-XXXX-XXXX-2703,U169030,2024-06-26,CREDIT,ACTIVE,US,MEDIUM
C0000206,4374461172875796,XXXX-XXXX-XXXX-5796,U190995,2021-10-24,CREDIT,ACTIVE,CA,LOW
C0000207,4910064249798109,XXXX-XXXX-XXXX-8109,U941453,2021-09-20,DEBIT,ACTIVE,GB,MEDIUM
C0000208,4284397061010689,XXXX-XXXX-XXXX-0689,U373416,2023-05-26,DEBIT,ACTIVE,US,MEDIUM
C0000209,4579731633918743,XXXX-XXXX-XXXX-8743,U663974,2023-02-10,DEBIT,ACTIVE,IN,LOW
C0000210,4522249314889610,XXXX-XXXX-XXXX-9610,U292893,2022-01-30,DEBIT,ACTIVE,IN,HIGH
C0000211,4198744049941396,XXXX-XXXX-XXXX-1396,U302145,2023-10-07,PREPAID,ACTIVE,US,MEDIUM
C0000212,4634223598148841,XXXX-XXXX-XXXX-8841,U486123,2020-08-15,DEBIT,ACTIVE,CA,HIGH
C0000213,4660700403994310,XXXX-XXXX-XXXX-4310,U283100,2023-04-14,DEBIT,ACTIVE,IN,HIGH
C0000214,4837469116067617,XXXX-XXXX-XXXX-7617,U205753,2021-04-25,CREDIT,ACTIVE,US,HIGH
C0000215,4871225674480598,XXXX-XXXX-XXXX-0598,U737098,2021-11-06,DEBIT,ACTIVE,CA,LOW
C0000216,4189365135387912,XXXX-XXXX-XXXX-7912,U357442,2020-12-02,DEBIT,ACTIVE,GB,MEDIUM
C0000217,4126959758979643,XXXX-XXXX-XXXX-9643,U657199,2023-12-02,PREPAID,ACTIVE,GB,LOW
C0000218,4543499653743880,XXXX-XXXX-XXXX-3880,U909028,2021-01-01,CREDIT,ACTIVE,US,LOW
C0000219,4279923615999718,XXXX-XXXX-XXXX-9718,U275394,2021-10-27,DEBIT,ACTIVE,GB,LOW
C0000220,4930678351601936,XXXX-XXXX-XXXX-1936,U650998,2020-05-27,DEBIT,ACTIVE,CA,LOW
C0000221,4383535157550351,XXXX-XXXX-XXXX-0351,U697842,2024-05-10,PREPAID,ACTIVE,IN,LOW
C0000222,4063321484049329,XXXX-XXXX-XXXX-9329,U275611,2020-09-09,PREPAID,ACTIVE,US,LOW
C0000223,4507458005835685,XXXX-XXXX-XXXX-5685,U876713,2022-11-16,CREDIT,ACTIVE,IN,LOW
C0000224,4225924071574719,XXXX-XXXX-XXXX-4719,U494056,2022-11-21,DEBIT,ACTIVE,US,LOW
